# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.global.apply.state.to.project.builder.ms,1773650275901000000,1773650310306000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1773650275901000000,1773650310306000000,2
workspaceModel.moduleBridge.before.changed.ms,1773650275901000000,1773650310306000000,0
workspaceModel.global.updates.ms,1773650275901000000,1773650310306000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1773650275901000000,1773650310306000000,101
jps.module.iml.entities.serializer.save.entities.ms,1773650275901000000,1773650310306000000,11
jps.library.entities.serializer.save.entities.ms,1773650275901000000,1773650310306000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1773650275901000000,1773650310306000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1773650275901000000,1773650310306000000,1
workspaceModel.mutableEntityStorage.instances.count,1773650275901000000,1773650310306000000,55
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1773650275901000000,1773650310306000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1773650275901000000,1773650310306000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1773650275901000000,1773650310306000000,16
workspaceModel.mutableEntityStorage.add.entity.ms,1773650275901000000,1773650310306000000,42
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1773650275901000000,1773650310306000000,0
workspaceModel.orphan.listener.update.ms,1773650275901000000,1773650310306000000,13
jps.reload.project.entities.ms,1773650275901000000,1773650310306000000,0
workspaceModel.moduleBridge.update.option.ms,1773650275901000000,1773650310306000000,0
parser.JSRegexp.size.bytes,1773650275901000000,1773650310306000000,121
parser.CSS.time.ns,1773650275901000000,1773650310306000000,255144264
parser.Angular181Html.time.ns,1773650275901000000,1773650310306000000,1183375719
lexer.textmate.time.ns,1773650275901000000,1773650310306000000,23399982
lexer.Angular181Html.time.ns,1773650275901000000,1773650310306000000,2482298312
parser.JSON.time.ns,1773650275901000000,1773650310306000000,398714723
writeAction.count,1773650275901000000,1773650310306000000,52
parser.yaml.time.ns,1773650275901000000,1773650310306000000,1851223
lexer.yaml.time.ns,1773650275901000000,1773650310306000000,1313323
lexer.TypeScript.time.ns,1773650275901000000,1773650310306000000,1074948974
